Filtering the log data using "process == "Voxa""
Timestamp                       Thread     Type        Activity             PID    TTL  
2026-04-08 00:31:11.506795-0500 0x6d769b   Default     0x0                  48909  0    Voxa: (WebKit) [com.apple.WebKit:MemoryPressure] WebContent[48914] Current memory footprint: 17 MB
2026-04-08 00:31:11.605546-0500 0x6d769b   Default     0x0                  48909  0    Voxa: (WebKit) [com.apple.WebKit:MemoryPressure] WebContent[48915] Current memory footprint: 100 MB
2026-04-08 00:31:20.848475-0500 0x6d7694   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.defaults:User Defaults] Received remote change notification from process 603 for { domain: <private>, user: <private>, byHost: 0, path: (null), cloud configuration path: (null) }
2026-04-08 00:31:20.849318-0500 0x6d7694   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.defaults:User Defaults] CFPrefsPlistSource<0xab0c72380> (Domain: com.apple.universalaccess, User: kCFPreferencesCurrentUser, ByHost: No, Container: (null), Contents Need Refresh: No) loaded: a new base plist and a diff relative to the base plist
2026-04-08 00:31:20.849874-0500 0x6d7694   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.defaults:User Defaults] found no value for key displaysLastCursorLocation in CFPrefsPlistSource<0xab0c70300> (Domain: kCFPreferencesAnyApplication, User: kCFPreferencesAnyUser, ByHost: Yes, Container: (null), Contents Need Refresh: No)
2026-04-08 00:31:20.849895-0500 0x6d7694   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.defaults:User Defaults] found no value for key displaysLastCursorLocation in CFPrefsPlistSource<0xab0c70180> (Domain: kCFPreferencesAnyApplication, User: kCFPreferencesCurrentUser, ByHost: No, Container: (null), Contents Need Refresh: No)
2026-04-08 00:31:20.849911-0500 0x6d7694   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.defaults:User Defaults] looked up value <private> for key displaysLastCursorLocation in CFPrefsPlistSource<0xab0c72380> (Domain: com.apple.universalaccess, User: kCFPreferencesCurrentUser, ByHost: No, Container: (null), Contents Need Refresh: No)
2026-04-08 00:31:20.851797-0500 0x6d769b   Debug       0x0                  48909  0    Voxa: (WebKit) [com.apple.defaults:User Defaults] WebContent[48915] setting <private> in CFPrefsPlistSource<0x7911bdc00> (Domain: com.apple.universalaccess, User: kCFPreferencesCurrentUser, ByHost: No, Container: (null), Contents Need Refresh: Yes)
2026-04-08 00:31:20.851827-0500 0x6d769b   Debug       0x0                  48909  0    Voxa: (WebKit) [com.apple.defaults:User Defaults] WebContent[48914] setting <private> in CFPrefsPlistSource<0xb0119dc00> (Domain: com.apple.universalaccess, User: kCFPreferencesCurrentUser, ByHost: No, Container: (null), Contents Need Refresh: Yes)
2026-04-08 00:31:21.133764-0500 0x6d7a8c   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.defaults:User Defaults] Received remote change notification from process 603 for { domain: <private>, user: <private>, byHost: 0, path: (null), cloud configuration path: (null) }
2026-04-08 00:31:21.135027-0500 0x6d7a8c   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.defaults:User Defaults] CFPrefsPlistSource<0xab0c72380> (Domain: com.apple.universalaccess, User: kCFPreferencesCurrentUser, ByHost: No, Container: (null), Contents Need Refresh: No) loaded: a new base plist and a diff relative to the base plist
2026-04-08 00:31:21.135832-0500 0x6d7a8c   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.defaults:User Defaults] found no value for key displaysLastCursorLocation in CFPrefsPlistSource<0xab0c70300> (Domain: kCFPreferencesAnyApplication, User: kCFPreferencesAnyUser, ByHost: Yes, Container: (null), Contents Need Refresh: No)
2026-04-08 00:31:21.135984-0500 0x6d7a8c   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.defaults:User Defaults] found no value for key displaysLastCursorLocation in CFPrefsPlistSource<0xab0c70180> (Domain: kCFPreferencesAnyApplication, User: kCFPreferencesCurrentUser, ByHost: No, Container: (null), Contents Need Refresh: No)
2026-04-08 00:31:21.136010-0500 0x6d7a8c   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.defaults:User Defaults] looked up value <private> for key displaysLastCursorLocation in CFPrefsPlistSource<0xab0c72380> (Domain: com.apple.universalaccess, User: kCFPreferencesCurrentUser, ByHost: No, Container: (null), Contents Need Refresh: No)
2026-04-08 00:31:21.138802-0500 0x6d769b   Debug       0x0                  48909  0    Voxa: (WebKit) [com.apple.defaults:User Defaults] WebContent[48914] setting <private> in CFPrefsPlistSource<0xb0119dc00> (Domain: com.apple.universalaccess, User: kCFPreferencesCurrentUser, ByHost: No, Container: (null), Contents Need Refresh: Yes)
2026-04-08 00:31:21.139673-0500 0x6d769b   Debug       0x0                  48909  0    Voxa: (WebKit) [com.apple.defaults:User Defaults] WebContent[48915] setting <private> in CFPrefsPlistSource<0x7911bdc00> (Domain: com.apple.universalaccess, User: kCFPreferencesCurrentUser, ByHost: No, Container: (null), Contents Need Refresh: Yes)
2026-04-08 00:31:21.786350-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (LaunchServices) [com.apple.launchservices:cas] _LSCopyApplicationInformationItem(sessionID=-2 asn=ASN:0x0-0x2: keyRef="ApplicationType")
2026-04-08 00:31:21.803111-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (LaunchServices) [com.apple.launchservices:cas] _LSCopyApplicationInformationItem(sessionID=-2 asn=ASN:0x0-0x2: keyRef="ApplicationType")
2026-04-08 00:31:21.819729-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (LaunchServices) [com.apple.launchservices:cas] _LSCopyApplicationInformationItem(sessionID=-2 asn=ASN:0x0-0x2: keyRef="ApplicationType")
2026-04-08 00:31:21.836332-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (LaunchServices) [com.apple.launchservices:cas] _LSCopyApplicationInformationItem(sessionID=-2 asn=ASN:0x0-0x2: keyRef="ApplicationType")
